GPU Memory Track | 06-Jun-22-16:09:32 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

- | 2 * Size:(895,)               | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
- | 5 * Size:(2,)                 | Memory: 7.6293 M | <class 'torch.Tensor'> | torch.int64
- | 12 * Size:(18, 450)            | Memory: 0.3707 M | <class 'torch.Tensor'> | torch.float32
- | 16 * Size:(32,)                | Memory: 0.0039 M | <class 'torch.Tensor'> | torch.int64
- | 4 * Size:(23,)                | Memory: 0.0007 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(580, 450, 1)        | Memory: 0.9956 M | <class 'torch.Tensor'> | torch.float32
- | 4 * Size:(25, 15, 450)        | Memory: 2.5749 M | <class 'torch.Tensor'> | torch.float32
- | 3 * Size:(479,)               | Memory: 0.0109 M | <class 'torch.Tensor'> | torch.int64
- | 4 * Size:(26, 15, 450)        | Memory: 2.6779 M | <class 'torch.Tensor'> | torch.float32
- | 4 * Size:(18, 15, 450)        | Memory: 1.8539 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(10592, 40)          | Memory: 1.6162 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(21,)                | Memory: 0.0003 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(29,)                | Memory: 0.0004 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(926, 510)           | Memory: 1.8015 M | <class 'torch.Tensor'> | torch.float32
